Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Intermediate,NonSaudi,Female,2018 Q2,1661,SAR
Intermediate,NonSaudi,Male,2018 Q2,2230,SAR
Intermediate,Saudi,Female,2018 Q2,4648,SAR
Intermediate,Saudi,Male,2018 Q2,7913,SAR
Intermediate,NonSaudi,Female,2018 Q3,1725,SAR
Intermediate,NonSaudi,Male,2018 Q3,2287,SAR
Intermediate,Saudi,Female,2018 Q3,5748,SAR
Intermediate,Saudi,Male,2018 Q3,8178,SAR
Intermediate,NonSaudi,Female,2018 Q4,1662,SAR
Intermediate,NonSaudi,Male,2018 Q4,2347,SAR
Intermediate,Saudi,Female,2018 Q4,4905,SAR
Intermediate,Saudi,Male,2018 Q4,8131,SAR
Intermediate,NonSaudi,Female,2019 Q1,1644,SAR
Intermediate,NonSaudi,Male,2019 Q1,2413,SAR
Intermediate,Saudi,Female,2019 Q1,4452,SAR
Intermediate,Saudi,Male,2019 Q1,7956,SAR
Intermediate,NonSaudi,Female,2019 Q2,1789,SAR
Intermediate,NonSaudi,Male,2019 Q2,2472,SAR
Intermediate,Saudi,Female,2019 Q2,4736,SAR
Intermediate,Saudi,Male,2019 Q2,7965,SAR
Intermediate,NonSaudi,Female,2019 Q3,1832,SAR
Intermediate,NonSaudi,Male,2019 Q3,2463,SAR
Intermediate,Saudi,Female,2019 Q3,4614,SAR
Intermediate,Saudi,Male,2019 Q3,8071,SAR
Intermediate,NonSaudi,Female,2019 Q4,1737,SAR
Intermediate,NonSaudi,Male,2019 Q4,2453,SAR
Intermediate,Saudi,Female,2019 Q4,4752,SAR
Intermediate,Saudi,Male,2019 Q4,7765,SAR
Intermediate,NonSaudi,Female,2020 Q1,1662,SAR
Intermediate,NonSaudi,Male,2020 Q1,2539,SAR
Intermediate,Saudi,Female,2020 Q1,5798,SAR
Intermediate,Saudi,Male,2020 Q1,7865,SAR
Intermediate,NonSaudi,Female,2020 Q2,1569,SAR
Intermediate,NonSaudi,Male,2020 Q2,2348,SAR
Intermediate,Saudi,Female,2020 Q2,4681,SAR
Intermediate,Saudi,Male,2020 Q2,7611,SAR
Intermediate,NonSaudi,Female,2020 Q3,1543,SAR
Intermediate,NonSaudi,Male,2020 Q3,2361,SAR
Intermediate,Saudi,Female,2020 Q3,4846,SAR
Intermediate,Saudi,Male,2020 Q3,7605,SAR
Intermediate,NonSaudi,Female,2020 Q4,1526,SAR
Intermediate,NonSaudi,Male,2020 Q4,2300,SAR
Intermediate,Saudi,Female,2020 Q4,4641,SAR
Intermediate,Saudi,Male,2020 Q4,7723,SAR
Intermediate,NonSaudi,Female,2021 Q1,1438,SAR
Intermediate,NonSaudi,Male,2021 Q1,2087,SAR
Intermediate,Saudi,Female,2021 Q1,4367,SAR
Intermediate,Saudi,Male,2021 Q1,7583,SAR
Intermediate,NonSaudi,Female,2021 Q2,1433,SAR
Intermediate,NonSaudi,Male,2021 Q2,2232,SAR
Intermediate,Saudi,Female,2021 Q2,4654,SAR
Intermediate,Saudi,Male,2021 Q2,7523,SAR
Bachelor,NonSaudi,Female,2017 Q1,6528,SAR
Bachelor,NonSaudi,Male,2017 Q1,7787,SAR
